skin_id,name,side,type_id,category,map_scale,map_offset_x,map_offset_y,combat_scale,combat_lineup,retainers,combat_effect,map_move_sfx,on_board
barricade,バリケード,ally,barricade,emplacement,0.85,0,0,0.85,squad,,,,true
ballista,バリスタ,ally,ballista,emplacement,1.2,0,0,1.2,squad,,arrow_bolt,,true
goblin,ゴブリン,enemy,cleric,goblin,0.8,0,0,0.8,squad,,slash_s,,true
hobgoblin,ホブゴブリン,enemy,priest,goblin,1.1,0,0,1.1,squad,,slash_m,,true
goblin_archer,ゴブリンアーチャー,enemy,slinger,goblin,0.8,0,0,0.9,squad,,arrow,,true
goblin_lord,ゴブリンロード,enemy,paladin,goblin,1.0,0,0,1.2,retinue,goblin,slash_m,,true
skeleton,スケルトン,enemy,priest,undead,1.0,0,0,1.0,squad,,slash_m,,true
zombie,ゾンビ,enemy,bishop,undead,1.0,0,0,1.0,squad,,punch,,true
skeleton_archer,スケルトンアーチャー,enemy,slinger,undead,1.0,16,0,1.0,squad,,arrow_bone,,true
ghoul,グール,enemy,fighter,undead,1.05,0,0,1.05,squad,,claw,,true
dullahan,デュラハン,enemy,warlord,undead,1.1,0,0,1.1,squad,,slash_l,,true
ghost,ゴースト,enemy,pixie,undead,0.9,0,20,0.9,squad,,curse_wisp,move_drift,true
wraith,レイス,enemy,birdman,undead,1.05,16,20,1.05,squad,,slash_m,move_drift,true
necromancer,ネクロマンサー,enemy,sorcerer,undead,1.05,0,0,1.26,retinue,skeleton|zombie|skeleton|zombie|skeleton|skeleton|zombie,curse,,true
orc,オーク,enemy,fighter,orc,1.05,0,0,1.05,squad,,slash_m,,true
orc_leader,オークリーダー,enemy,vanguard,orc,1.15,0,0,1.15,squad,,slash_m,,true
orc_mage,オークメイジ,enemy,mage,orc,1.0,0,0,1.0,squad,,fire_ball,,true
griffon,グリフォン,enemy,valkyrie,beast,1.15,0,20,1.15,squad,,claw,,true
harpy,ハーピー,enemy,birdman,beast,0.9,0,20,0.9,squad,,claw,,true
rock_serpent,ロックサーペント,enemy,scout,beast,0.7,0,0,0.7,squad,,bite,,true
wyrm,ワイアーム,enemy,ninja,beast,1.05,0,0,1.3,single,,bite,,true
scorpion,スコーピオン,enemy,knight,beast,0.9,0,0,0.9,squad,,pincer,,true
rogue,ローグ,enemy,cleric,rogue,1.0,0,0,1.0,squad,,slash_s,,true
rogue_axe,ローグアックス,enemy,priest,rogue,1.1,-16,0,1.1,squad,,slash_l,,true
rogue_slinger,ローグスリンガー,enemy,slinger,rogue,1.0,0,0,1.0,squad,,stone,,true
rogue_head,ローグヘッド,enemy,paladin,rogue,1.05,0,0,1.05,retinue,rogue,slash_m,,true
rogue_wagon,ならず者の馬車,enemy,wagon,rogue,0.95,0,0,1.45,single,,,move_wagon,true
troll,トロール,enemy,juggernaut,giant,1.3,0,0,1.3,single,,punch,,true
treant,トレント,enemy,forest_knight,plant,1.3,0,0,1.3,squad,,punch,,true
matango,マタンゴ,enemy,forest_slinger,plant,0.9,0,0,0.9,squad,,spore,,true
mandragora,マンドラゴラ,enemy,forest_witch,plant,0.9,0,0,0.9,squad,,scream,,true
slime,スライム,enemy,slime,magical,0.7,0,0,0.85,squad,,,,true
red_dragon,レッドドラゴン,enemy,dragon,dragon,1.4,0,20,1.7,single,,fire_breath,,true
