keys,ja,en
t1.st5.intro.4,そうだ。焦って前に出るな。射手が削ってから、前衛が止めを刺す。一波ずつ、ここで待ち伏せて潰す。,"Exactly. Don't rush forward. Archers whittle them down, then the front line finishes them. One wave at a time — we ambush and break them here."
t1.st5.intro.5,引きつけて、削って、殲滅！,"Draw them in, wear them down, wipe them out!"
t1.st5.outro.1,道が開いた！　弓があると、こんなに違うのか。,"The road's open! Bows make this much of a difference?"
t1.st5.outro.2,よく引きつけた。離れて削る、これも立派な戦い方だ。,"You drew them in well. Whittling from range — that's a fine way to fight too."
t1.st5.outro.3,入口は制圧。ですが奥は、通路が入り組んだ巣の中。一筋縄ではいきません。,"The entrance is secured. But deeper in, it's a warren of tangled passages. It won't be simple."
t1.st5.outro.4,中へ踏み込む。慎重にな。,"We press inside. Carefully now."
t1.st5.outro.5,いよいよ、巣穴の中へ！,"At last — into the nest!"
t1.st6.intro.1,この先は巣穴の中、通路と部屋が入り組んでいます。私が先に入りましょう、こういう場所は得意だ。,"Ahead is the nest's interior — passages and rooms all tangled. Let me go first; places like this are my specialty."
t1.st6.intro.2,斥候さん、戦えたんですか！？,"Scout — you could fight all along?!"
t1.st6.intro.3,ハーフリングを舐めないでください。射って、すぐ退く。足は誰より速い。,"Don't underestimate a halfling. Shoot, then slip away at once. No one's faster on their feet."
t1.st6.intro.4,中の連中は巣に潜んで動かん。下手に踏み込めば部屋ごと一斉に来るぞ。斥候、一組だけ釣って通路へ引け。残りはそこで叩く。,"The ones inside lurk still in their nest. Blunder in and a whole room comes at once. Scout, lure just one group into the passage and pull back. We strike them there."
t1.st6.intro.5,それと、奥には敵の射手もいる。固まって近づくな、削られる。,"And there are enemy archers deeper in. Don't approach in a cluster or you'll be worn down."
t1.st6.intro.6,釣って、通路で各個撃破！,"Lure them, and crush them one by one in the passage!"
t1.st6.outro.1,部屋をひとつずつ、概ね片付いた。,"Room by room — mostly cleared."
t1.st6.outro.2,お見事。手下の大半は断ちました。あとは、巣穴の奥にいるゴブリンロードを撃ちましょう。,"Splendid. Most of the underlings are cut down. Now for the Goblin Lord deep in the nest."
t1.st6.outro.3,ここまで来た。全員、全部の力で元を断つ。突入だ。,"We've come this far. Everyone, with all our strength, we end this at its root. Charge in!"
t1.st6.outro.4,行きましょう、隊長！,"Let's go, Captain!"
t1.st7.intro.1,最奥がゴブリンロードの間。あれは別格です。脇にホブゴブリン二匹とアーチャー二匹、手前の部屋にも手下がうじゃうじゃ。,"The innermost chamber is the Goblin Lord's. It's in a class of its own. Two hobgoblins and two archers flank it, and the front rooms are crawling with underlings."
t1.st7.intro.2,正面から、あれと戦うんですか？,"We fight that thing head-on?"
t1.st7.intro.3,正面で殴り合えばロードは固い、こっちが保たん。斥候、抜け道はあるか？,"Trade blows head-on and the Lord's too tough — we won't hold. Scout, is there a way around?"
t1.st7.intro.4,ありました。入口からボスの間の裏手へ回る通路が。見張りが二匹。,"Found one. A passage from the entrance that loops behind the Lord's chamber. Two sentries."
t1.st7.intro.5,それだ。隊を二手に分け、表で引きつけ裏から回り込む。ロードを前後で挟んで囲め。強い奴でも、囲めば脆い。,"That's it. Split the squad in two — draw them at the front, circle in from the back. Pin the Lord front and rear and surround it. Even the strong are brittle once encircled."
t1.st7.intro.6,挟み撃ちで包囲。これまでの、全部だ！,"A pincer and encirclement. Everything we've learned!"
t1.st7.outro.1,倒した！ゴブリンロードを、倒したんだ！,"We did it! We brought down the Goblin Lord!"
t1.st7.outro.2,巣の主は落ちた。これで群れは散る。町は——守り切った。,"The master of the nest has fallen. The horde will scatter now. The town — we held it."
t1.st7.outro.3,長い道でした。あの平原から、ここまで。,"It's been a long road. From that plain, all the way here."
t1.st7.outro.4,お前もよく戦った。もう新兵じゃないな。,"You fought well too. You're no rookie anymore."
t1.st7.outro.5,はいっ！みんなで、勝ったんです。,"Yes sir! We won — all of us together."
