keys,ja,en
ui.info.reserves_count,%d体,%d
ui.info.reserves_bullet,"  ・%s","  • %s"
ui.info.reserves_line,%s  兵数%d/%d  Lv%d,%s  %d/%d  Lv%d
ui.info.help_no_selection,ユニット未選択,No unit selected
ui.info.help_select_unit,盤上のユニットを左クリックで選択,Left-click a unit on the board to select it
ui.info.help_inspect_tile,空きマスをクリックで地形を確認,Click an empty hex to check its terrain
ui.info.help_controls,［操作］,[ Controls ]
ui.info.help_end_turn,Enter＝ターン終了,Enter — End Turn
ui.info.help_pan,2本指スクロール／空き地ドラッグ＝移動,Two-finger scroll / drag empty ground — Pan
ui.info.help_zoom,ピンチ＝ズーム,Pinch — Zoom
ui.info.help_fit,F＝全体表示,F — Fit whole board
ui.info.saved,セーブしました,Saved
ui.report.tab_summary,サマリー,Summary
ui.report.tab_attack,攻撃,Attack
ui.report.tab_counter,反撃,Counter
ui.report.name_lv,%s Lv%d,%s Lv%d
ui.report.strength_change,兵数,Strength
ui.report.total_atk,総攻撃,Effective Atk
ui.report.total_def,総防御,Effective Def
ui.report.attack,攻撃,Attack
ui.report.defense,防御,Defense
ui.report.terrain,地形,Terrain
ui.report.encircled,包囲,Encircled
ui.report.support,支援,Support
ui.report.buff,状態補正,Modifier
ui.report.atk_vs_ground,対地 %d,vs Ground %d
ui.report.atk_vs_air,対空 %d,vs Air %d
ui.report.no_counter,反撃なし,No Counter
ui.report.modifier_unnamed,状態補正,Modifier
ui.report.status_dot,%s 毒 -%d/ターン,%s Poison -%d/turn
ui.report.head_attack,%s → %s の攻撃,Attack: %s → %s
ui.report.head_counter,%s → %s の反撃,Counter: %s → %s
ui.report.col_attack,%sの攻撃,%s's Attack
ui.report.col_defense,%sの防御,%s's Defense
ui.report.base_stat,素の値,Base
ui.report.eff_total,実効値,Effective
ui.report.strength,兵数,Strength
ui.report.level,Lv,Lv
ui.report.status,状態補正,Modifier
ui.report.pierce,貫通,Pierce
ui.report.eff_atk,実効攻撃力,Effective Atk
ui.report.eff_def,実効防御力,Effective Def
ui.report.support_capped,防御の支援は素の2倍が上限。上限に当たっている。,Defense support is capped at twice the base value. The cap was hit.
ui.report.no_counter_reason,"  反撃なし（距離2以上・対空を持たない・懐に死角のいずれか）","  No counter (range 2+, no attack vs air, or a blind spot up close)"
ui.report.loss_rate_formula,"  損害率 ＝ 実効攻撃力² ÷ (実効攻撃力² ＋ 実効防御力²)","  Loss rate = Effective Atk² ÷ (Effective Atk² + Effective Def²)"
ui.report.loss_rate_values,"       ＝ %d×%d ÷ (%d×%d ＋ %d×%d) ＝ %d%%","       = %d×%d ÷ (%d×%d + %d×%d) = %d%%"
ui.report.loss_line,"  %sが失う兵数 ＝ 兵数%d × %d%% ＝ %d","  %s loses: Strength %d × %d%% = %d"
ui.quest.locked_title,まだ受けられない依頼,Quest Locked
ui.quest.back,別の依頼を選ぶ,Choose Another Quest
ui.quest.sortie,出発する,Set Out
ui.quest.confirm,出発しますか？,Ready to set out?
ui.quest.close,閉じる,Close
ui.quest.party_sortie,以下のユニットが出発します,Your party for this quest
ui.quest.party_carry,前の依頼で生存しているユニットが出発できます,Survivors from your last quest
ui.quest.party_oneoff,この依頼限りで出発します,Provided for this quest only
ui.quest.party_lost,前の依頼までに兵数がゼロとなっているため出発できないユニット,Down to zero strength — can't set out
ui.quest.unlock_nth,%d番めの依頼をクリアで解放,Clear quest %d to unlock
ui.quest.unlock_other,別の依頼をクリアで解放,Clear another quest to unlock
ui.quest.unlock_stage,「%s」クリアで解放,Clear “%s” to unlock
ui.quest.unlock_dlc,追加コンテンツ,Additional Content
ui.quest.unlock_sep,・,"; "
ui.select.debug_note,（開発ビルド限定）,(Debug build only)
ui.select.danger,危険度,Danger
ui.select.menu,← メニュー,← Menu
ui.select.back_tales,← 冒険譚,← Adventures
ui.talk.close,閉じる,Close
ui.talk.skip,会話をスキップ,Skip
ui.talk.next,次へ ▶,Next ▶
ui.talk.start_battle,戦闘開始 ▶,To Battle ▶
ui.talk.resume_battle,戦闘再開 ▶,Resume Battle ▶
ui.talk.next_stage,次の依頼へ ▶,Next Quest ▶
ui.save.cancel,やめる,Cancel
ui.save.heading_save,セーブ,Save
ui.save.heading_load,ロード,Load
ui.save.heading_continue,冒険の続き,Continue
ui.save.auto,オート,Auto
ui.save.empty,空き,Empty
ui.save.turn_start,ターン%d 開始時,Start of Turn %d
ui.save.sep,"  ｜  ","  |  "
ui.save.campaign_stage,%s — %s,%s — %s
ui.save.confirm_overwrite,この枠に上書きしますか？,Overwrite this save?
ui.save.confirm_overwrite_yes,はい,Overwrite
ui.save.confirm_load,いまの盤面は失われます。読み込みますか？,The current battle will be lost. Load this save?
ui.save.confirm_load_yes,はい,Load
ui.board.attack,攻撃,Attack
ui.board.wait,待機,Wait
ui.board.capture,占領,Capture
ui.board.enter,入る,Enter
ui.board.embark,乗車,Board
ui.board.unload,降車: %s,Unload: %s
ui.board.deploy,出撃: %s,Deploy: %s
ui.board.unit_skill,ユニットスキル,Unit Skill
ui.board.formation_skill,陣形スキル,Formation Skill
ui.board.recipe_item,%s: %s,%s: %s
ui.board.cancel,キャンセル,Cancel
ui.banner.player_turn,自軍のターン,Your Turn
ui.banner.enemy_turn,敵軍のターン,Enemy Turn
ui.result.turns,ターン,Turns
ui.result.survived,生存,Survived
ui.result.defeated,撃破,Defeated
ui.result.rank,ランク,Rank
ui.result.goal_turn,%sランク　%dターン未満,Rank %s  under %d turns
ui.result.goal_alive,%sランク　%d体以上,Rank %s  %d or more units
ui.combat.attack,攻撃,Attack
ui.combat.defense,防御,Defense
ui.combat.poison,毒 -%d/ターン,Poison -%d/turn
ui.combat.cleansed,解呪 %d,Cleansed %d
