keys,ja,en
ui.info.help_info_panel,Space＝情報板を畳む／開く,Space — Toggle info panel
ui.info.help_pan,2本指スクロール／空き地ドラッグ＝移動,Two-finger scroll / drag empty ground — Pan
ui.info.help_zoom,ピンチ＝ズーム,Pinch — Zoom
ui.info.help_fit,F＝全体表示,F — Fit whole board
ui.info.saved,セーブしました,Saved
ui.skillreport.caster,発動　%s,Cast by %s
ui.skillreport.target,対象　%s,Target: %s
ui.skillreport.target_all_allies,味方全体,All allied units
ui.skillreport.target_participants,参加した%d体,"The %d members who took part"
ui.skillreport.loss_line,%s　−%d,%s  −%d
ui.skillreport.loss_line_killed,%s　−%d　撃破,%s  −%d  Defeated
ui.skillreport.no_hits,対象なし（範囲に誰も居なかった）,No targets hit
ui.skillreport.cleansed,%s の弱体を %d 解除,Debuffs removed from %s: %d
ui.skillreport.cleansed_none,%s に解除する弱体は無かった,No debuffs on %s to remove
ui.skillreport.spawned,%s が分裂した,%s split in two
ui.talk.close,閉じる,Close
ui.talk.skip,会話をスキップ,Skip
ui.talk.next,次へ ▶,Next ▶
ui.talk.start_battle,戦闘開始 ▶,To Battle ▶
ui.talk.resume_battle,戦闘再開 ▶,Resume Battle ▶
ui.talk.next_stage,次の依頼へ ▶,Next Quest ▶
ui.board.attack,攻撃,Attack
ui.board.wait,待機,Wait
ui.board.capture,占領,Capture
ui.board.enter,入る,Enter
ui.board.embark,乗車,Board
ui.board.unload,降車: %s,Unload: %s
ui.board.deploy,出撃: %s,Deploy: %s
ui.board.unit_skill,ユニットスキル,Unit Skill
ui.board.formation_skill,陣形スキル,Formation Skill
ui.board.skill_item,%s: %s,%s: %s
ui.board.cancel,キャンセル,Cancel
ui.banner.player_turn,自軍のターン,Your Turn
ui.banner.enemy_turn,敵軍のターン,Enemy Turn
ui.combat.attack,攻撃,Attack
ui.combat.defense,防御,Defense
ui.combat.poison,毒 -%d/ターン,Poison -%d/turn
ui.combat.cleansed,解呪 %d,Cleansed %d
ui.objective.title,勝利／敗北条件,Victory and Defeat Conditions
ui.objective.win_head,勝利,Victory
ui.objective.lose_head,敗北,Defeat
ui.objective.name_sep,・,", "
ui.objective.win.wipe,敵をすべて倒す,Defeat every enemy unit
ui.objective.win.capture_hq,敵の本拠地を占領する,Capture the enemy headquarters
ui.objective.win.defeat_unit,%s を倒す,Defeat %s
ui.objective.win.defeat_units,%s をすべて倒す,Defeat all of %s
ui.objective.lose.wipe,自軍が全滅する,Your army is wiped out
ui.objective.lose.hq,自軍の本拠地を奪われる,Your headquarters is captured
ui.objective.lose.turn_limit,%d ターン経過,%d turns pass
ui.objective.lose.lose_unit,%s を失う,%s is lost
ui.objective.lose.lose_units,%s をすべて失う,All of %s are lost
ui.objective.lose.base,拠点を奪われる,The base is captured
ui.objective.lose.bases,拠点をすべて奪われる,All the bases are captured
